wosid,title,issn,eissn,wikidata
13214J,ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1536-593X,http://www.wikidata.org/entity/Q15750107
10110J,ABDOMINAL IMAGING,0942-8925,1432-0509,http://www.wikidata.org/entity/Q15716670
C7251J,Acta Cardiologica Sinica,1011-6842,,http://www.wikidata.org/entity/Q2366246
12380J,ACTA PHYSICO-CHIMICA SINICA,1000-6818,,http://www.wikidata.org/entity/Q15767318
04059J,ACTA VETERINARIA-BEOGRAD,0567-8315,1820-7448,http://www.wikidata.org/entity/Q15752002
09926J,ADVANCED COMPOSITE MATERIALS,0924-3046,1568-5519,http://www.wikidata.org/entity/Q4686156
07035J,ADVANCED MATERIALS & PROCESSES,0882-7958,2161-9425,
00029S,Advances in Agronomy,0065-2113,,http://www.wikidata.org/entity/Q2496124
00973J,AGE,0161-9152,1574-4647,http://www.wikidata.org/entity/Q4691832
03539J,AMERICAN JOURNAL OF DERMATOPATHOLOGY,0193-1091,1533-0311,http://www.wikidata.org/entity/Q15754884
C8536J,Anadolu Psikiyatri Dergisi-Anatolian Journal of Psychiatry,1302-6631,1302-6631,http://www.wikidata.org/entity/Q15750857
09523J,ANIMAL BIOTECHNOLOGY,1049-5398,1532-2378,http://www.wikidata.org/entity/Q2233008
09264J,ANNALS OF ONCOLOGY,0923-7534,1569-8041,http://www.wikidata.org/entity/Q326122
14918S,Annual Review of Pathology-Mechanisms of Disease,1553-4006,,http://www.wikidata.org/entity/Q15263665
05986J,APPLIED ANIMAL BEHAVIOUR SCIENCE,0168-1591,1872-9045,http://www.wikidata.org/entity/Q2159220
09279J,APPLIED ORGANOMETALLIC CHEMISTRY,0268-2605,1099-0739,http://www.wikidata.org/entity/Q1767653
03746J,AQUATIC TOXICOLOGY,0166-445X,1879-1514,http://www.wikidata.org/entity/Q4782796
C6958J,Asia-Pacific Journal of Public Health,1010-5395,1941-2479,http://www.wikidata.org/entity/Q4806254
05827J,ATOMIC DATA AND NUCLEAR DATA TABLES,0092-640X,1090-2090,http://www.wikidata.org/entity/Q2920192
D1103J,Biomedical Engineering-Biomedizinische Technik,0013-5585,1862-278X,http://www.wikidata.org/entity/Q15749128
C6572J,Biotechnology Journal,1860-6768,1860-7314,http://www.wikidata.org/entity/Q15716480
C9673J,BMC Medical Genomics,1755-8794,,http://www.wikidata.org/entity/Q15754662
01241J,CANCER CHEMOTHERAPY AND PHARMACOLOGY,0344-5704,1432-0843,http://www.wikidata.org/entity/Q326137
04480J,CELLULAR POLYMERS,0262-4893,1478-2421,
29125J,CLINICAL RADIOLOGY,0009-9260,1365-229X,http://www.wikidata.org/entity/Q15754925
13518J,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,1526-1492,1526-1506,http://www.wikidata.org/entity/Q15754393
C6674J,Communications in Computational Physics,1815-2406,1991-7120,http://www.wikidata.org/entity/Q1809704
29920J,COMPOSITIO MATHEMATICA,0010-437X,1570-5846,http://www.wikidata.org/entity/Q5156781
C6961J,Current Bioinformatics,1574-8936,2212-392X,http://www.wikidata.org/entity/Q15745417
C8824J,Diabetes & Vascular Disease Research,1479-1641,1752-8984,http://www.wikidata.org/entity/Q5270121
C8084J,Diving and Hyperbaric Medicine,1833-3516,1833-3516,
13391J,DOKLADY PHYSICS,1028-3358,1562-6903,http://www.wikidata.org/entity/Q15716613
C1111J,ECOLOGICAL INDICATORS,1470-160X,1872-7034,http://www.wikidata.org/entity/Q1282041
34056J,ECONOMIC BOTANY,0013-0001,1874-9364,http://www.wikidata.org/entity/Q514162
09773J,ENVIRONMETRICS,1180-4009,1099-095X,http://www.wikidata.org/entity/Q15758560
12473J,EUROPEAN JOURNAL OF OPHTHALMOLOGY,1120-6721,1724-6016,http://www.wikidata.org/entity/Q15755023
07635J,FLUID DYNAMICS RESEARCH,0169-5983,1873-7005,http://www.wikidata.org/entity/Q15746435
D0294J,Food Security,1876-4517,1876-4525,
10629J,FREE RADICAL RESEARCH,1071-5762,1029-2470,http://www.wikidata.org/entity/Q5500025
00424S,Frontiers of Hormone Research,0301-3073,,http://www.wikidata.org/entity/Q15765442
C9677J,Functional Materials Letters,1793-6047,1793-7213,http://www.wikidata.org/entity/Q5508788
13935J,GEOCHEMICAL TRANSACTIONS,1467-4866,1467-4866,http://www.wikidata.org/entity/Q15763187
C7983J,Gradevinar,0350-2465,1333-9095,
41932J,IBIS,0019-1019,1474-919X,http://www.wikidata.org/entity/Q1666662
14199J,IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,1530-4388,1558-2574,http://www.wikidata.org/entity/Q5327634
11194J,INFLAMMATION RESEARCH,1023-3830,1420-908X,http://www.wikidata.org/entity/Q1819367
C8514J,Informatics for Health & Social Care,1753-8157,1753-8165,http://www.wikidata.org/entity/Q15762121
10740J,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,0924-8579,1872-7913,http://www.wikidata.org/entity/Q15724616
47113J,INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,0091-2174,1541-3527,http://www.wikidata.org/entity/Q15766428
D1097J,International Journal of Shoulder Surgery,0973-6042,0973-6042,http://www.wikidata.org/entity/Q6051575
49060J,JOURNAL OF AGRICULTURAL SCIENCE,0021-8596,1469-5146,http://www.wikidata.org/entity/Q3931449
D2659J,Journal of Biomedical Semantics,2041-1480,2041-1480,http://www.wikidata.org/entity/Q6294854
C8526J,Journal of Computational and Nonlinear Dynamics,1555-1423,1555-1415,
13696J,JOURNAL OF DERMATOLOGY,0385-2407,1346-8138,
02045J,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,0193-2691,1532-2351,http://www.wikidata.org/entity/Q15760113
13857J,JOURNAL OF FELINE MEDICINE AND SURGERY,1098-612X,1532-2750,http://www.wikidata.org/entity/Q6295205
54692J,JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY,0022-1260,1349-8037,http://www.wikidata.org/entity/Q15763921
55210J,JOURNAL OF HEALTH POLITICS POLICY AND LAW,0361-6878,,http://www.wikidata.org/entity/Q15758994
11483J,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,1064-1246,1875-8967,http://www.wikidata.org/entity/Q15761645
09335J,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,0957-4522,1573-482X,http://www.wikidata.org/entity/Q6295494
58036J,JOURNAL OF NATURAL HISTORY,0022-2933,1464-5262,http://www.wikidata.org/entity/Q1937345
06571J,JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,0731-7085,1873-264X,http://www.wikidata.org/entity/Q15752537
60577J,JOURNAL OF QUALITY TECHNOLOGY,0022-4065,0022-4065,http://www.wikidata.org/entity/Q15749619
01519J,JOURNAL OF RHEOLOGY,0148-6055,,http://www.wikidata.org/entity/Q6295875
06299J,JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION,8750-7315,1930-8264,http://www.wikidata.org/entity/Q15750487
50908J,JOURNAL OF THE AUDIO ENGINEERING SOCIETY,1549-4950,1549-4950,http://www.wikidata.org/entity/Q2221048
03870J,JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,0026-1165,2186-9057,http://www.wikidata.org/entity/Q15762340
03232J,JOURNAL OF VIROLOGICAL METHODS,0166-0934,1879-0984,http://www.wikidata.org/entity/Q15749961
12023J,JOURNAL OF WOMENS HEALTH,1540-9996,1931-843X,http://www.wikidata.org/entity/Q15753624
10761J,LASER PHYSICS,1054-660X,1555-6611,http://www.wikidata.org/entity/Q2627169
65582J,MAGYAR ALLATORVOSOK LAPJA,0025-004X,,http://www.wikidata.org/entity/Q15758003
C6821J,Maternal and Child Nutrition,1740-8695,1740-8709,http://www.wikidata.org/entity/Q15756374
09615J,MICROSCOPY RESEARCH AND TECHNIQUE,1059-910X,1097-0029,http://www.wikidata.org/entity/Q59757
06098J,MIS QUARTERLY,0276-7783,,http://www.wikidata.org/entity/Q1141940
69498J,MOLECULAR CRYSTALS AND LIQUID CRYSTALS,1542-1406,1563-5287,http://www.wikidata.org/entity/Q15754505
11339J,MOLECULAR MEDICINE,1076-1551,1528-3658,http://www.wikidata.org/entity/Q6895961
07363J,MOLECULAR MICROBIOLOGY,0950-382X,1365-2958,http://www.wikidata.org/entity/Q6895967
07396J,MOLECULAR NEUROBIOLOGY,0893-7648,1559-1182,http://www.wikidata.org/entity/Q15716645
69887J,MONATSSCHRIFT KINDERHEILKUNDE,0026-9298,1433-0474,http://www.wikidata.org/entity/Q1762971
D1565J,MRS Communications,2159-6859,2159-6867,
C8677J,Mucosal Immunology,1933-0219,1935-3456,http://www.wikidata.org/entity/Q15817743
C6567J,Nurse Educator,0363-3624,1538-9855,http://www.wikidata.org/entity/Q15766988
C2855J,NUTRITION IN CLINICAL PRACTICE,0884-5336,1941-2452,http://www.wikidata.org/entity/Q7070513
13977J,ORGANIC ELECTRONICS,1566-1199,1878-5530,http://www.wikidata.org/entity/Q2087238
07537J,PARASITOLOGY RESEARCH,0932-0113,1432-1955,http://www.wikidata.org/entity/Q15755242
C7763J,Petroleum Science,1672-5107,1995-8226,
C6419J,Petrophysics,1529-9074,,http://www.wikidata.org/entity/Q15751718
76376J,PHYSICAL REVIEW C,0556-2813,1089-490X,http://www.wikidata.org/entity/Q2779854
76780J,PHYSIOLOGICAL REVIEWS,0031-9333,1522-1210,http://www.wikidata.org/entity/Q1091827
C6231J,PLoS Genetics,1553-7404,1553-7404,http://www.wikidata.org/entity/Q1893441
12337J,PRAKTISCHE METALLOGRAPHIE-PRACTICAL METALLOGRAPHY,0032-678X,0032-678X,http://www.wikidata.org/entity/Q15760075
78848J,PROCEEDINGS OF THE EDINBURGH MATHEMATICAL SOCIETY,0013-0915,1464-3839,http://www.wikidata.org/entity/Q15492536
81642J,PSYCHOPHARMACOLOGY,0033-3158,1432-2072,http://www.wikidata.org/entity/Q1422802
C8785J,Radiophysics and Quantum Electronics,0033-8443,1573-9120,http://www.wikidata.org/entity/Q2384706
10495J,RAFFLES BULLETIN OF ZOOLOGY,0217-2445,,http://www.wikidata.org/entity/Q7759249
84453J,REVISTA DE CHIMIE,0034-7752,0034-7752,
C6032J,Revista Mexicana de Biodiversidad,1870-3453,,http://www.wikidata.org/entity/Q21385872
D0267J,Scandinavian Journal of Trauma Resuscitation & Emergency Medicine,1757-7241,,http://www.wikidata.org/entity/Q15766278
07076J,SEMICONDUCTOR SCIENCE AND TECHNOLOGY,0268-1242,1361-6641,http://www.wikidata.org/entity/Q15708713
10166J,SEMINARS IN CANCER BIOLOGY,1044-579X,,http://www.wikidata.org/entity/Q1908668
13541J,SEMINARS IN REPRODUCTIVE MEDICINE,1526-8004,1526-4564,http://www.wikidata.org/entity/Q15724536
05922J,STATISTICS & PROBABILITY LETTERS,0167-7152,1879-2103,http://www.wikidata.org/entity/Q15760511
03116J,THEORETICAL COMPUTER SCIENCE,0304-3975,1879-2294,http://www.wikidata.org/entity/Q7782354
10914J,VETERINARSKI ARHIV,0372-5480,1331-8055,
C2626J,VIROLOGICA SINICA,1674-0769,1995-820X,
C7079J,Water Policy,1366-7017,1366-7017,http://www.wikidata.org/entity/Q15761055
